Status checking started...
[19:07:53] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:08:06] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:08:21] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:08:36] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:08:51] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:09:06] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:09:21] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:09:36] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:09:51] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:10:07] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:10:22] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:10:37] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:10:52] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:11:07] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:11:22] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:11:37] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:11:52] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:12:07] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:12:22] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:12:37] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:12:52] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:13:07] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:13:22] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:13:37] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:13:52] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:14:07] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:14:22] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:14:37] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:14:52] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:15:07] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:15:22] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:15:37] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:15:53] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:16:08] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:16:23] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:16:38] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:16:53] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:17:08] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:17:23] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:17:38] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:17:53] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:18:08] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:18:23] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:18:38] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:18:53] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:19:08] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:19:23] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:19:38] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:19:53] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:20:08] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:20:23] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:20:38] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:20:53] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:21:08] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:21:23] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:21:38] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:21:53] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:22:09] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:22:24] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:22:39] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:22:54] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:23:09] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:23:24] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:23:39] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:23:54] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:24:09] Querying 114 DNS... Result: [Empty, Still blocked by Aliyun]
[19:24:24] Querying 114 DNS... Result: 19f3a9780e5d5d6f.vercel-dns-017.com.
[19:24:24] SUCCESS! Triggering voice alert...
